producto;presentacion;marca;categoria;catalogo;precio;fechaRegistro;cadenaComercial;giro;nombreComercial;direccion;estado;municipio;latitud;longitud
PLANCHAS;W200. VAPOR. SUELA ANTIADHERENTE;BLACK & DECKER;APARATOS ELECTRICOS;ELECTRODOMESTICOS;198,00;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL VILLAS DE LA HACIENDA;AV. LAGO DE GUADALUPE S/N ESQ. DE LAS VILLAS;MÉXICO;ATIZAPAN                                ;NA;NA
PLANCHAS;F 905. VAPOR. SUELA ANTIADHERENTE;BLACK & DECKER;APARATOS ELECTRICOS;ELECTRODOMESTICOS;241.1;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL VILLAS DE LA HACIENDA;AV. LAGO DE GUADALUPE S/N ESQ. DE LAS VILLAS;MÉXICO;ATIZAPAN                                ;NA;NA
PLANCHAS;FV 4249X2 o FV 4249. VAPOR. SUELA ULTRAGLIDE;T-FAL;APARATOS ELECTRICOS;ELECTRODOMESTICOS;748,00;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL VILLAS DE LA HACIENDA;AV. LAGO DE GUADALUPE S/N ESQ. DE LAS VILLAS;MÉXICO;ATIZAPAN                                ;NA;NA
LAVADORAS;LAE 13200 PBB. 13 KGS. AGITADOR. CENTRIFUGADO;EASY;APARATOS ELECTRICOS;ELECTRODOMESTICOS;4998,00;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL VILLAS DE LA HACIENDA;AV. LAGO DE GUADALUPE S/N ESQ. DE LAS VILLAS;MÉXICO;ATIZAPAN                                ;NA;NA
CERVEZA;CANASTA CON 6 BOTELLAS DE 355 ML. NO RETORNABLE (CLARA);BOHEMIA.;CERVEZA;BASICOS;67.9;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL VILLAS DE LA HACIENDA;AV. LAGO DE GUADALUPE S/N ESQ. DE LAS VILLAS;MÉXICO;ATIZAPAN                                ;NA;NA
CERVEZA;CANASTA CON 6 BOTELLAS DE 355 ML. NO RETORNABLE;NEGRA MODELO;CERVEZA;BASICOS;64,00;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL VILLAS DE LA HACIENDA;AV. LAGO DE GUADALUPE S/N ESQ. DE LAS VILLAS;MÉXICO;ATIZAPAN                                ;NA;NA
JABON DE TOCADOR;BARRA 180 GR.;CAMAY. CLASICO;ARTS. PARA EL CUIDADO PERSONAL;MERCADOS;6.5;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL VILLAS DE LA HACIENDA;AV. LAGO DE GUADALUPE S/N ESQ. DE LAS VILLAS;MÉXICO;ATIZAPAN                                ;NA;NA
JABON DE TOCADOR;BARRA 90 GR. PARA BEBE;BABY MAGIC MENNEN;ARTS. PARA EL CUIDADO PERSONAL;BASICOS;10.7;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL VILLAS DE LA HACIENDA;AV. LAGO DE GUADALUPE S/N ESQ. DE LAS VILLAS;MÉXICO;ATIZAPAN                                ;NA;NA
JABON DE TOCADOR;CAJA CON BARRA 150 GR. NEUTRO;GRISI;ARTS. PARA EL CUIDADO PERSONAL;BASICOS;12.33;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL VILLAS DE LA HACIENDA;AV. LAGO DE GUADALUPE S/N ESQ. DE LAS VILLAS;MÉXICO;ATIZAPAN                                ;NA;NA
RADIOGRABADORAS;CFD-S07CP. BOCINAS 2. CASETERAS 1. CD'S 1 MP3;SONY;APARATOS ELECTRONICOS;ELECTRODOMESTICOS;998,00;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL VILLAS DE LA HACIENDA;AV. LAGO DE GUADALUPE S/N ESQ. DE LAS VILLAS;MÉXICO;ATIZAPAN                                ;NA;NA
COMPONENTES DE AUDIO;"MHC-EC69i. CD'S 1 MP3; BASE PARA IPOD. SIN CASETERA. POTENCIA 1;100 W (PMPO)";SONY;APARATOS ELECTRONICOS;ELECTRODOMESTICOS;1998,00;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL VILLAS DE LA HACIENDA;AV. LAGO DE GUADALUPE S/N ESQ. DE LAS VILLAS;MÉXICO;ATIZAPAN                                ;NA;NA
TOSTADORES DE PAN;AQUILES;TAURUS;APARATOS ELECTRICOS;ELECTRODOMESTICOS;148,00;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL VILLAS DE LA HACIENDA;AV. LAGO DE GUADALUPE S/N ESQ. DE LAS VILLAS;MÉXICO;ATIZAPAN                                ;NA;NA
SANDIA;1 KG. CHARLESTON/RAYADA;S/M;FRUTAS FRESCAS;FRUTAS Y LEGUMBRES;9.2;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL VILLAS DE LA HACIENDA;AV. LAGO DE GUADALUPE S/N ESQ. DE LAS VILLAS;MÉXICO;ATIZAPAN                                ;NA;NA
PINA;1 KG.;S/M;FRUTAS FRESCAS;FRUTAS Y LEGUMBRES;11.5;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL VILLAS DE LA HACIENDA;AV. LAGO DE GUADALUPE S/N ESQ. DE LAS VILLAS;MÉXICO;ATIZAPAN                                ;NA;NA
AKINETON;CAJA CON 30 TABLETAS 2 MG.;ABBOTT LABORATORIES DE MEXICO, S.A. DE C.V.;MEDICAMENTOS;MEDICAMENTOS;144.14;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL VILLAS DE LA HACIENDA;AV. LAGO DE GUADALUPE S/N ESQ. DE LAS VILLAS;MÉXICO;ATIZAPAN                                ;NA;NA
CREMA SOLIDA;FRASCO 200 GR.;POND S. S;ARTS. PARA EL CUIDADO PERSONAL;BASICOS;37.35;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL VILLAS DE LA HACIENDA;AV. LAGO DE GUADALUPE S/N ESQ. DE LAS VILLAS;MÉXICO;ATIZAPAN                                ;NA;NA
CREMA LIQUIDA;BOTELLA 400 ML. EXPRESS HYDRATION. PIEL NORMAL;NIVEA.;ARTS. PARA EL CUIDADO PERSONAL;BASICOS;31.9;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL VILLAS DE LA HACIENDA;AV. LAGO DE GUADALUPE S/N ESQ. DE LAS VILLAS;MÉXICO;ATIZAPAN                                ;NA;NA
CREMA LIQUIDA;BOTELLA 400 ML. ULTRA HUMECTANTE CON FRAGANCIA;VASENOL;ARTS. PARA EL CUIDADO PERSONAL;BASICOS;50.5;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL VILLAS DE LA HACIENDA;AV. LAGO DE GUADALUPE S/N ESQ. DE LAS VILLAS;MÉXICO;ATIZAPAN                                ;NA;NA
NOPAL;1 KG. SIN ESPINAS;S/M;HORTALIZAS FRESCAS;FRUTAS Y LEGUMBRES;16.9;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL VILLAS DE LA HACIENDA;AV. LAGO DE GUADALUPE S/N ESQ. DE LAS VILLAS;MÉXICO;ATIZAPAN                                ;NA;NA
